Reference, Quantity, Value, Manufacturer,Part Number,Consigned
AE1 ,1,Antenna,,,
BT1 ,1,Battery_Cell,KEYSTONE,3001,
BT2 ,1,4UCON-20519,4UCON,4UCON-20519,
C14 C7 C9 ,3,10uF,MURATA,GRM155R60J106ME15D,
C15 C16 C11 C5 C1 C2 C3 C4 C23 C24 ,10,2.2uF,MURATA,GRM155R61E225ME15D,
C19 C22 C12 C20 C21 C26 ,6,1uF,,,
C27 C28 ,2,68pF,YAEGO,CC0402JRNPO9BN680,
C8 C10 C13 C6 C18 C17 C25 C29 ,8,0.1uF,SAMSUNG,CL05B104KO5NNNC,
D1 ,1,APHB1608SGNC,,,
D2,,LED Red,,,
D3 ,2,LED Green,,,
D4 ,1,Led_RGB_CA,,CLMVC-FKA-CLBDGL7LBB79353,
F1 ,1,FUSE,,,
IC1 ,1,BC127-EXT,Sierra Wireless,BC127-EXT,YES
J1 ,1,SJ-3523-SMT-TR,,,
J2 ,1,SJ-3524-SMT-TR-PI,,,
J3 ,1,Opt Breakout,,,YES
J4 ,1,Qwiik Connector,,,
J5 J6 ,2,SMT,,,
L1 ,1,3.3nH,,,
MIC1 MIC2 ,2,SPM0687LR5H-1,,,
P4 P2 P1 P3 ,4,CONN_01X06,,,
P6 P7 P8 ,3,CONN_01X01,,,
R11 R1 R21 R22 ,4,1K,,,
R12 ,1,2.2K,,,
R13 R14 ,2,0R,,,
R15 R18 ,2,2.2K,,,
R16 R17 R2 ,3,DNP,,,
R19 R20 ,2,240R,,,
R23 R24 R31 ,3,10K,,,
R25 ,1,100K,,,
R26 R27 R28 ,3,470R,,,
R3 R4 R5 R6 R7 R8 R9 R10 ,8,33R,,,
R32 R33 R30 R29 ,4,4K7,,,
RV1 ,1,POT,,,
SW1 ,1,CL-SB-22A,,,
SW2 ,1,SW_Push,,,
U1 ,1,MCP73831,,,
U2 ,1,TLV320AIC3206IRSBT,,,
U3 ,1,74LVC1G66,,,
U4 ,1,MIC5323-1.8YD5-TR,,,
U5 ,1,Teensy4.1,,,
U6 ,1,MAX17048G+T10,,MAX17048G+T10,
